Fetching data from https://itsmp.ultron.com.tr/api.php/v1...

| ID | Name | Type | Current Template |
|---|---|---|---|
| 1 | Alert Tickets not closed | Ticket | ticket_recall (248) |
| 2 | New Ticket | Ticket | ticket_opening_confirmation (249) |
| 3 | Update Ticket | Ticket | status_update (250) |
| 4 | Close Ticket | Ticket | generic_ticket_resolution (251) |
| 5 | Add Followup | Ticket | status_update (250) |
| 6 | Add Task | Ticket | ticket_task_notification (252) |
| 7 | Update Followup | Ticket | status_update (250) |
| 8 | Update Task | Ticket | ticket_task_notification (252) |
| 9 | Delete Followup | Ticket | status_update (250) |
| 10 | Delete Task | Ticket | ticket_task_notification (252) |
| 11 | Resolve ticket | Ticket | generic_ticket_resolution (251) |
| 12 | Ticket Validation | Ticket | ticket_validation_request (253) |
| 13 | New Reservation | Reservation | new_reservation (254) |
| 14 | Update Reservation | Reservation | new_reservation (254) |
| 15 | Delete Reservation | Reservation | new_reservation (254) |
| 16 | Alert Reservation | Reservation | new_reservation (254) |
| 17 | Contract Notice | Contract | contract_renewal_90 (255) |
| 18 | Contract End | Contract | contract_end_30 (256) |
| 19 | MySQL Synchronization | DBConnection | custom_mysql_sync (257) |
| 20 | Cartridges | CartridgeItem | consumable_alert (258) |
| 21 | Consumables | ConsumableItem | consumable_alert (258) |
| 22 | Infocoms | Infocom | custom_infocoms (259) |
| 23 | Software Licenses | SoftwareLicense | contract_end_30 (256) |
| 24 | Ticket Recall | Ticket | sla_breach_warning (260) |
| 25 | Password Forget | User | password_forget (261) |
| 26 | Ticket Satisfaction | Ticket | csat_survey (262) |
| 27 | Item not unique | FieldUnicity | custom_item_not_unique (263) |
| 28 | CronTask Watcher | CronTask | custom_crontask_watcher (264) |
| 29 | New Problem | Problem | new_problem (265) |
| 30 | Update Problem | Problem | update_problem (266) |
| 31 | Resolve Problem | Problem | resolve_problem (267) |
| 32 | Add Task | Problem | update_problem (266) |
| 33 | Update Task | Problem | update_problem (266) |
| 34 | Delete Task | Problem | update_problem (266) |
| 35 | Close Problem | Problem | resolve_problem (267) |
| 36 | Delete Problem | Problem | custom_delete_problem (268) |
| 37 | Ticket Validation Answer | Ticket | ticket_validation_request (253) |
| 38 | Contract End Periodicity | Contract | contract_end_30 (256) |
| 39 | Contract Notice Periodicity | Contract | contract_renewal_90 (255) |
| 40 | Planning recall | PlanningRecall | ticket_recall (248) |
| 41 | Delete Ticket | Ticket | delete_ticket (269) |
| 42 | New Change | Change | planned_change_notification (270) |
| 43 | Update Change | Change | generic_update_change (271) |
| 44 | Resolve Change | Change | generic_update_change (271) |
